pred_loss,adv_loss,val_acc,adv_acc,maj_base,adv_bal,alpha
0.6210045665502548,0.6831325322389603,0.6655555367469788,0.54666668176651,0.7055555582046509,0.5830931510919626,0.0
0.5915636569261551,0.6671243026852608,0.6727777719497681,0.5777778029441833,0.7055555582046509,0.5968949636012479,0.0
0.5897572129964829,0.6639510527253151,0.6683333516120911,0.5755555629730225,0.7055555582046509,0.6019165057198039,0.0
0.5889581561088562,0.6592455923557281,0.6711111068725586,0.5777778029441833,0.7055555582046509,0.5996434407963156,0.0
0.5868222206830979,0.6598458766937256,0.6738888621330261,0.5777778029441833,0.7055555582046509,0.6012925271133561,0.0
0.5867043778300285,0.6591007381677627,0.676111102104187,0.5733333230018616,0.7055555582046509,0.5981429208141436,0.0
0.586565314233303,0.6571341976523399,0.6772222518920898,0.5844444632530212,0.7055555582046509,0.6027187639280939,0.0
0.5865814819931984,0.659827709197998,0.6755555272102356,0.5805555582046509,0.7055555582046509,0.5988634675382558,0.0
0.584328705072403,0.6582523167133332,0.6766666769981384,0.5883333086967468,0.7055555582046509,0.6010771059277967,0.0
0.5837741270661354,0.6572511151432991,0.6777777671813965,0.5938888788223267,0.7055555582046509,0.6028153320457584,0.0
0.5851787313818931,0.6597725808620453,0.6788889169692993,0.5944444537162781,0.7055555582046509,0.6065072054672411,0.0
0.5840776190161705,0.6580370321869851,0.679444432258606,0.5827777981758118,0.7055555582046509,0.5965904026147675,0.0
0.5831259950995445,0.6604201883077622,0.679444432258606,0.5683333277702332,0.7055555582046509,0.5956990046055564,0.0
0.5834048375487327,0.6580857872962952,0.6788889169692993,0.6138888597488403,0.7055555582046509,0.6087431288070123,0.0
0.5840499922633171,0.6589497804641724,0.6755555272102356,0.5811111330986023,0.7055555582046509,0.5943099093745356,0.0
0.5827009662985801,0.6550728604197502,0.6755555272102356,0.5944444537162781,0.7055555582046509,0.5982617738820384,0.0
0.5807287082076072,0.6572014629840851,0.6783333420753479,0.5855555534362793,0.7055555582046509,0.5963601247957213,0.0
0.5791660666465759,0.6543770089745522,0.6783333420753479,0.5855555534362793,0.7055555582046509,0.5936116476006537,0.0
0.5830872610211373,0.6560486063361168,0.6811110973358154,0.5827777981758118,0.7055555582046509,0.5921928391026594,0.0
0.5820389345288277,0.6561334237456322,0.6783333420753479,0.5888888835906982,0.7055555582046509,0.5921259842519685,0.0
0.5805544763803482,0.6568031504750251,0.6783333420753479,0.574999988079071,0.7055555582046509,0.5894295052741049,0.0
0.5809181377291679,0.6556847512722015,0.679444432258606,0.5755555629730225,0.7055555582046509,0.5920219878175605,0.0
0.5798613086342812,0.6535088196396828,0.6755555272102356,0.5844444632530212,0.7055555582046509,0.5900757688307829,0.0
0.5787492170929909,0.6547232910990715,0.6788889169692993,0.602222204208374,0.7055555582046509,0.5905808943693359,0.0
0.5806130200624466,0.6556631594896316,0.6777777671813965,0.5844444632530212,0.7055555582046509,0.5873272916357153,0.0
0.5810083538293839,0.6499569356441498,0.679444432258606,0.5972222089767456,0.7055555582046509,0.5952830188679246,0.0
0.5793963611125946,0.6544090867042541,0.6755555272102356,0.5933333039283752,0.7055555582046509,0.5903283316000594,0.0
0.5814279019832611,0.6547053828835487,0.6744444370269775,0.5894444584846497,0.7055555582046509,0.591420294161343,0.0
0.5787798523902893,0.6544106602668762,0.6755555272102356,0.574999988079071,0.7055555582046509,0.5872307235180507,0.0
0.5786300450563431,0.6563396275043487,0.6766666769981384,0.6027777791023254,0.7055555582046509,0.593723072351805,0.0
